2019-07-23 13:45:09, A1, BR, 
2019-07-23 13:45:14, A2, BL, CCDE000418
2019-07-23 13:45:19, A3, FL, CCDE000365
2019-07-23 13:45:24, A4, FR, 
2019-07-23 13:45:29, A5, FR, 
2019-07-23 13:45:34, A6, BL, 
2019-07-23 13:45:39, A7, FL, CCDE000338
2019-07-23 13:45:44, A8, BR, CCDE000435
2019-07-23 13:45:54, A1, BR, 
2019-07-23 13:45:59, A2, BL, CCDE000418
2019-07-23 13:46:04, A3, FL, CCDE000365
2019-07-23 13:46:09, A4, FR, 
2019-07-23 13:46:14, A5, FR, CCDE000322
2019-07-23 13:46:19, A6, BL, 
2019-07-23 13:46:24, A7, FL, CCDE000338
2019-07-23 13:46:29, A8, BR, CCDE000435
2019-07-23 13:46:39, A1, BR, 
2019-07-23 13:46:44, A2, BL, CCDE000418
2019-07-23 13:46:49, A3, FL, CCDE000365
2019-07-23 13:46:54, A4, FR, 
2019-07-23 13:46:59, A5, FR, CCDE000322
2019-07-23 13:47:04, A6, BL, 
2019-07-23 13:47:09, A7, FL, CCDE000338
2019-07-23 13:47:14, A8, BR, CCDE000435
2019-07-23 13:47:24, A1, BR, 
2019-07-23 13:47:29, A2, BL, CCDE000418
2019-07-23 13:47:34, A3, FL, CCDE000365
2019-07-23 13:47:39, A4, FR, 
2019-07-23 13:47:44, A5, FR, CCDE000322
2019-07-23 13:47:49, A6, BL, 
2019-07-23 13:47:54, A7, FL, CCDE000338
2019-07-23 13:47:59, A8, BR, CCDE000435
2019-07-23 13:48:09, A1, BR, 
2019-07-23 13:48:14, A2, BL, 
2019-07-23 13:48:19, A3, FL, 
2019-07-23 13:48:24, A4, FR, 
2019-07-23 13:48:29, A5, FR, CCDE000322
2019-07-23 13:48:34, A6, BL, 
2019-07-23 13:48:39, A7, FL, CCDE000338
2019-07-23 13:48:44, A8, BR, CCDE000435
2019-07-23 14:10:58, A1, BR, CCDE000461
2019-07-23 14:11:03, A2, BL, CCDE000446
2019-07-23 14:11:08, A3, FL, CCDE000322
2019-07-23 14:11:13, A4, FR, CCDE000425
2019-07-23 14:11:18, A5, FR, CCDE000327
2019-07-23 14:11:23, A6, BL, 
2019-07-23 14:11:28, A7, FL, CCDE000355
2019-07-23 14:11:33, A8, BR, CCDE000369
2019-07-23 14:11:43, A1, BR, CCDE000461
2019-07-23 14:11:48, A2, BL, CCDE000446
2019-07-23 14:11:53, A3, FL, CCDE000322
2019-07-23 14:11:58, A4, FR, CCDE000425
2019-07-23 14:12:03, A5, FR, CCDE000327
2019-07-23 14:12:08, A6, BL, 
2019-07-23 14:12:13, A7, FL, 
2019-07-23 14:12:18, A8, BR, CCDE000369
2019-07-23 14:12:28, A1, BR, CCDE000461
2019-07-23 14:12:33, A2, BL, CCDE000446
2019-07-23 14:12:38, A3, FL, CCDE000322
2019-07-23 14:12:43, A4, FR, CCDE000425
2019-07-23 14:12:48, A5, FR, CCDE000327
2019-07-23 14:12:53, A6, BL, 
2019-07-23 14:12:58, A7, FL, CCDE000355
2019-07-23 14:13:03, A8, BR, 
2019-07-23 14:13:13, A1, BR, CCDE000461
2019-07-23 14:13:18, A2, BL, CCDE000446
2019-07-23 14:13:23, A3, FL, CCDE000322
2019-07-23 14:13:28, A4, FR, CCDE000425
2019-07-24 14:14:08, A1, BR, 
2019-07-24 14:14:13, A2, BL, 
2019-07-24 14:14:18, A3, FL, CCDE000342
2019-07-24 14:14:23, A4, FR, 
2019-07-24 14:14:28, A5, FR, 
2019-07-24 14:14:33, A6, BL, CCDE000350
2019-07-24 14:14:38, A7, FL, 
2019-07-24 14:14:43, A8, BR, 
2019-07-24 14:14:53, A1, BR, 
2019-07-24 14:14:58, A2, BL, 
2019-07-24 14:15:03, A3, FL, CCDE000342
2019-07-24 14:15:08, A4, FR, 
2019-07-24 14:15:13, A5, FR, 
2019-07-24 14:15:18, A6, BL, 
2019-07-24 14:15:23, A7, FL, 
2019-07-24 14:15:28, A8, BR, 
2019-07-24 14:15:38, A1, BR, 
2019-07-24 14:15:43, A2, BL, 
2019-07-24 14:15:48, A3, FL, 
2019-07-24 14:15:53, A4, FR, 
2019-07-24 14:15:58, A5, FR, 
